Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Serial Entrepreneur,Bull Market,31,4,AI,Pre-Seed,Remote,6,17,52.6,6.9,3.4,9.4,2.0,0.7,1.0,3.9,1.6,Low,0,0.9,2.4,6.5,18.3,10.0,No,0.292,Low,0
Calm Operator,Stable Economy,38,3,AI,Bootstrapped,Office,4,35,56.1,8.0,4.4,12.5,7.1,0.0,1.9,2.0,1.0,Low,0,5.2,13.3,8.2,0.0,10.0,No,0.008,Low,0
Solo Hustler,Stable Economy,29,0,E-commerce,Seed,Remote,13,10,72.9,4.8,3.9,2.3,4.9,6.9,7.4,5.7,3.9,Moderate,0,-8.0,14.8,3.6,64.5,3.9,No,0.56,Medium,0
Growth Obsessed Founder,Stable Economy,43,4,EdTech,Series A,Hybrid,55,77,87.6,5.1,1.5,2.5,7.7,8.1,10.0,10.0,10.0,Severe,1,19.1,20.1,9.6,92.0,1.0,Yes,0.591,Medium,0
Calm Operator,Funding Winter,37,1,FinTech,Series A,Hybrid,51,68,52.0,6.7,4.8,18.8,8.7,2.5,4.5,2.0,1.9,Low,0,8.4,3.4,5.5,37.7,8.4,No,0.613,Medium,0
Calm Operator,Stable Economy,33,2,Biotech,Bootstrapped,Hybrid,6,82,62.0,6.3,7.0,18.6,4.7,0.5,1.0,1.0,1.0,Low,0,16.9,17.2,6.6,18.0,10.0,No,0.046,Low,0
Serial Entrepreneur,Bull Market,37,6,AI,Seed,Remote,15,18,61.4,5.4,4.3,10.5,5.0,3.8,4.5,4.3,1.0,Low,0,42.5,12.8,7.5,5.9,8.8,Yes,0.258,Low,0
Burned-Out Operator,Stable Economy,22,5,HealthTech,Series A,Hybrid,30,107,61.4,6.1,3.4,0.0,6.8,5.0,6.0,7.5,5.4,Moderate,0,44.9,8.9,8.7,45.6,5.9,No,0.475,Medium,0
Calm Operator,Stable Economy,35,2,HealthTech,Pre-Seed,Hybrid,9,133,53.4,6.3,5.5,12.8,3.7,0.8,1.5,2.5,1.0,Low,0,7.9,16.7,4.9,25.9,10.0,No,0.184,Low,0
Technical Builder,Stable Economy,29,4,Cybersecurity,Seed,Hybrid,20,92,58.9,5.3,4.1,16.2,6.4,3.9,3.0,3.4,4.8,Moderate,0,-37.3,16.9,1.9,61.3,9.4,Yes,0.139,Low,0
Growth Obsessed Founder,Bull Market,41,3,Gaming,Bootstrapped,Office,3,125,68.8,6.5,2.7,0.0,3.3,5.5,5.0,2.8,2.0,Low,0,-1.8,17.6,4.7,43.7,7.9,Yes,0.081,Low,0
Serial Entrepreneur,Bull Market,40,6,Cybersecurity,Series A,Remote,32,9,44.4,5.6,4.5,0.0,4.0,0.0,1.0,2.2,1.2,Low,0,0.6,7.7,7.2,24.1,10.0,No,0.114,Low,0
Solo Hustler,Stable Economy,29,1,Cybersecurity,Pre-Seed,Remote,13,100,83.1,4.2,1.3,1.5,5.5,4.4,7.5,5.2,6.2,Moderate,0,-1.5,16.8,3.2,38.8,3.1,No,0.361,Medium,0
Solo Hustler,Funding Winter,26,1,E-commerce,Seed,Hybrid,14,42,76.2,5.7,3.5,7.6,5.3,2.0,4.6,2.9,2.6,Low,0,-6.5,26.3,3.1,15.9,9.1,No,0.152,Low,0
Growth Obsessed Founder,Funding Winter,30,5,E-commerce,Pre-Seed,Remote,10,36,69.4,4.8,1.9,14.4,6.4,2.4,5.9,5.0,2.4,Low,0,-0.3,6.6,7.5,39.5,7.6,Yes,0.103,Low,0
Solo Hustler,Stable Economy,36,1,FinTech,Pre-Seed,Remote,3,7,60.0,6.6,2.9,10.9,3.9,1.8,4.3,2.2,1.6,Low,0,3.6,6.7,6.0,33.4,10.0,No,0.393,Medium,0
Visionary CEO,Stable Economy,28,2,ClimateTech,Series C,Remote,500,3,72.6,5.4,3.1,9.3,8.5,5.2,5.8,6.3,2.8,Low,0,15.1,15.8,6.7,17.2,7.9,No,0.113,Low,0
Burned-Out Operator,Stable Economy,31,3,Gaming,Series C,Office,503,2,54.2,5.7,4.1,13.7,6.2,4.2,6.1,9.7,7.5,Severe,1,-7.0,21.1,6.2,50.4,2.3,Yes,0.479,Medium,0
Burned-Out Operator,Funding Winter,23,0,E-commerce,Seed,Hybrid,12,16,51.6,4.8,3.7,7.2,5.3,4.2,1.9,3.4,3.1,Low,0,12.2,3.0,1.5,35.5,6.3,No,0.91,High,1
Calm Operator,Bull Market,44,5,AI,Series A,Remote,79,128,53.4,7.5,6.6,21.0,8.4,3.9,4.8,5.1,3.6,Moderate,0,11.1,15.7,4.1,48.4,9.8,No,0.099,Low,0
Chaotic Innovator,Recession,35,3,AI,Series A,Remote,37,84,48.9,5.8,3.2,2.3,10.0,4.1,8.3,7.4,3.6,Moderate,0,13.7,11.0,3.6,39.4,6.4,No,0.539,Medium,0
Solo Hustler,Stable Economy,31,3,HealthTech,Pre-Seed,Hybrid,12,125,92.2,3.8,2.4,0.0,8.1,5.2,8.4,5.7,7.7,Severe,1,-1.4,9.4,1.6,58.4,1.0,Yes,0.734,High,1
Technical Builder,Funding Winter,35,1,AI,Series B,Remote,131,71,77.1,5.5,3.9,5.7,5.4,4.5,8.0,7.3,4.8,Moderate,0,19.6,9.9,6.8,48.2,4.9,No,0.643,Medium,0
Visionary CEO,Stable Economy,28,1,EdTech,Bootstrapped,Remote,5,21,77.2,5.2,3.5,0.0,1.7,3.4,3.5,1.0,2.8,Low,0,2.4,13.0,8.5,43.5,5.2,No,0.096,Low,0
Growth Obsessed Founder,Funding Winter,42,4,AI,Pre-Seed,Hybrid,6,4,60.8,6.8,3.2,16.4,3.1,5.0,4.8,6.3,2.1,Low,0,5.2,4.1,5.6,45.2,8.0,Yes,0.636,Medium,0
Burned-Out Operator,Bull Market,34,6,HealthTech,Series B,Hybrid,96,52,57.4,5.9,4.2,0.0,5.8,3.9,4.5,2.6,3.2,Low,0,23.9,10.6,5.2,43.8,7.0,No,0.142,Low,0
Solo Hustler,Stable Economy,21,1,AI,Bootstrapped,Office,5,66,95.6,3.5,2.8,14.9,3.6,7.5,8.1,9.1,6.2,Moderate,0,-7.0,9.9,1.0,61.3,2.4,No,0.685,High,1
Growth Obsessed Founder,Stable Economy,38,2,SaaS,Series B,Hybrid,211,123,67.9,5.9,2.7,6.1,8.4,4.1,6.0,4.8,5.2,Moderate,0,22.6,24.2,4.9,40.6,5.8,No,0.256,Low,0
Growth Obsessed Founder,Bull Market,35,4,SaaS,Series A,Hybrid,46,107,69.1,5.2,4.1,6.3,7.4,8.8,4.3,3.5,4.0,Moderate,0,25.4,4.4,6.5,54.5,7.9,No,0.818,High,1
Technical Builder,Recession,33,1,FinTech,Series A,Remote,37,21,51.0,6.3,4.3,5.8,7.0,2.4,4.0,1.0,1.5,Low,0,13.0,13.5,5.5,23.1,9.4,No,0.24,Low,0
Solo Hustler,Funding Winter,33,4,AI,Pre-Seed,Remote,13,98,77.5,3.8,4.7,9.5,7.0,0.0,7.3,8.3,5.1,Moderate,0,0.5,12.4,4.5,23.5,3.8,Yes,0.313,Low,0
Serial Entrepreneur,Stable Economy,45,3,Gaming,Series B,Office,138,6,41.9,6.9,5.5,8.6,9.9,0.0,2.5,1.3,1.0,Low,0,-1.2,15.4,5.8,2.0,10.0,No,0.016,Low,0
Solo Hustler,Bull Market,39,2,SaaS,Seed,Office,19,122,84.9,5.5,2.8,8.9,2.1,5.4,4.4,9.2,7.2,Severe,1,21.0,8.1,2.4,59.5,3.2,Yes,0.742,High,1
Solo Hustler,Recession,36,2,Biotech,Seed,Office,28,98,88.3,3.5,2.4,14.3,7.8,3.6,8.0,7.2,5.1,Moderate,0,2.5,1.3,5.1,43.7,3.3,No,0.843,High,1
Technical Builder,Stable Economy,36,2,SaaS,Seed,Remote,16,122,51.3,6.6,2.4,9.1,4.3,4.8,2.1,3.5,1.7,Low,0,13.3,14.3,5.2,33.7,9.9,No,0.064,Low,0
Technical Builder,Stable Economy,31,2,AI,Seed,Remote,28,111,72.7,5.1,3.8,15.6,5.2,1.0,2.7,1.0,2.2,Low,0,-8.0,23.4,4.5,28.8,7.3,No,0.053,Low,0
Burned-Out Operator,Stable Economy,26,3,SaaS,Pre-Seed,Hybrid,11,42,51.8,7.5,3.1,14.9,2.7,5.3,1.0,1.1,2.2,Low,0,-7.6,10.9,3.2,39.9,8.6,No,0.439,Medium,0
Burned-Out Operator,Stable Economy,40,4,SaaS,Series A,Office,73,66,71.5,4.6,2.9,18.6,4.7,2.2,6.5,5.1,2.1,Low,0,-10.9,14.0,7.1,21.3,8.6,No,0.036,Low,0
Technical Builder,Stable Economy,37,0,E-commerce,Series A,Remote,87,125,62.3,6.1,4.9,16.5,2.8,4.5,3.2,3.4,1.0,Low,0,4.8,16.6,6.8,25.8,8.9,Yes,0.148,Low,0
Burned-Out Operator,Stable Economy,35,0,E-commerce,Pre-Seed,Remote,7,84,60.4,3.5,4.3,11.8,1.0,4.4,3.2,8.1,5.3,Moderate,0,-15.2,25.9,1.0,41.1,3.3,Yes,0.275,Low,0
Growth Obsessed Founder,Recession,30,2,AI,Seed,Hybrid,19,132,66.3,6.0,3.1,9.6,5.8,3.8,7.0,7.9,5.2,Moderate,0,19.4,15.3,6.7,51.7,7.9,Yes,0.707,High,1
Burned-Out Operator,Recession,33,2,AI,Pre-Seed,Remote,6,5,57.1,4.3,3.5,6.5,7.8,6.1,7.2,9.6,5.7,Moderate,0,-11.9,12.9,1.5,43.2,3.1,No,0.968,High,1
Technical Builder,Stable Economy,35,1,SaaS,Seed,Hybrid,8,52,63.0,6.7,4.4,10.9,3.3,3.9,2.7,1.7,1.0,Low,0,-0.9,15.2,5.0,15.7,10.0,No,0.356,Medium,0
Growth Obsessed Founder,Stable Economy,33,2,AI,Seed,Remote,5,24,64.8,5.8,2.0,0.0,3.9,5.0,5.0,1.8,4.7,Moderate,0,42.0,8.6,5.4,58.1,5.8,No,0.414,Medium,0
Growth Obsessed Founder,Recession,31,0,EdTech,Pre-Seed,Remote,14,84,64.8,6.8,3.1,0.4,7.6,5.4,4.9,4.1,3.1,Low,0,-0.7,18.2,5.1,43.2,8.3,Yes,0.206,Low,0
Burned-Out Operator,Stable Economy,39,5,SaaS,Series B,Remote,63,123,52.0,4.6,1.5,14.6,8.2,3.2,4.9,5.6,5.1,Moderate,0,10.2,12.4,5.0,38.1,5.9,No,0.396,Medium,0
Technical Builder,Bull Market,27,4,AI,Series A,Remote,55,70,52.4,7.9,4.1,6.0,4.8,2.4,1.6,3.5,1.0,Low,0,15.4,13.2,9.9,27.4,10.0,No,0.055,Low,0
Solo Hustler,Stable Economy,43,1,SaaS,Bootstrapped,Hybrid,7,132,78.9,5.6,1.2,2.2,6.5,7.6,8.6,6.3,5.1,Moderate,0,-5.2,15.7,5.2,69.5,3.8,No,0.239,Low,0
Burned-Out Operator,Funding Winter,23,0,E-commerce,Pre-Seed,Remote,3,10,52.5,4.8,3.4,5.3,5.8,1.8,3.2,2.5,3.3,Low,0,-44.6,27.6,1.0,21.2,8.4,No,0.093,Low,0
Solo Hustler,Recession,41,3,EdTech,Seed,Hybrid,16,107,71.8,4.3,2.8,0.0,3.5,3.7,6.2,8.3,5.0,Moderate,0,9.3,5.6,5.7,29.5,4.7,No,0.587,Medium,0
Growth Obsessed Founder,Stable Economy,35,4,FinTech,Series A,Hybrid,54,46,70.0,6.0,2.7,4.8,8.6,6.2,7.9,6.9,5.4,Moderate,0,2.6,13.9,5.5,37.2,3.8,No,0.412,Medium,0
Calm Operator,Funding Winter,29,2,FinTech,Series C,Remote,212,17,48.4,5.9,6.2,15.3,7.9,4.4,3.5,1.0,1.0,Low,0,-6.7,23.9,6.5,21.7,10.0,No,0.02,Low,0
Calm Operator,Funding Winter,28,2,E-commerce,Pre-Seed,Remote,9,87,39.6,6.8,7.0,21.2,4.4,3.1,1.0,1.0,1.0,Low,0,-14.9,7.8,1.9,23.4,10.0,No,0.798,High,1
Calm Operator,Stable Economy,38,2,SaaS,Seed,Remote,21,126,59.6,5.1,4.4,21.4,2.9,0.0,2.9,1.4,1.9,Low,0,12.5,18.2,7.7,26.3,9.9,No,0.129,Low,0
Burned-Out Operator,Bull Market,39,0,SaaS,Series C,Remote,670,101,62.5,5.4,3.2,0.0,5.8,5.6,6.8,3.7,4.6,Moderate,0,9.2,23.0,5.0,30.6,5.0,No,0.332,Low,0
Growth Obsessed Founder,Funding Winter,43,4,FinTech,Series A,Remote,35,121,70.8,5.4,2.6,0.0,8.7,9.7,7.3,5.6,6.5,Severe,1,14.7,12.6,6.4,63.8,2.7,No,0.767,High,1
Solo Hustler,Stable Economy,36,4,Cybersecurity,Seed,Hybrid,21,104,79.7,5.3,4.6,0.0,4.3,5.9,4.2,2.9,3.1,Low,0,1.5,3.9,5.4,32.8,6.3,No,0.837,High,1
Solo Hustler,Stable Economy,30,4,AI,Seed,Hybrid,24,95,74.8,5.2,2.5,0.0,7.0,1.9,5.7,6.0,4.6,Moderate,0,-10.2,14.5,6.3,31.4,5.5,Yes,0.076,Low,0
Burned-Out Operator,Funding Winter,27,3,HealthTech,Series A,Remote,81,27,46.5,5.3,5.3,0.0,10.0,4.5,6.7,4.5,8.5,Severe,1,10.3,7.3,6.4,54.7,2.7,Yes,0.932,High,1
Serial Entrepreneur,Funding Winter,21,3,Biotech,Pre-Seed,Hybrid,7,108,38.8,7.6,4.7,9.6,8.1,1.0,2.8,3.9,1.0,Low,0,36.2,5.4,9.9,18.1,10.0,No,0.12,Low,0
Serial Entrepreneur,Stable Economy,39,6,ClimateTech,Bootstrapped,Remote,3,37,77.6,4.0,3.1,8.0,2.3,1.1,6.1,5.1,5.5,Moderate,0,-22.2,19.5,5.5,63.8,3.1,Yes,0.075,Low,0
Serial Entrepreneur,Funding Winter,33,3,FinTech,Series A,Remote,23,18,50.0,6.2,4.8,17.5,6.4,3.3,3.8,2.8,1.7,Low,0,37.5,21.0,8.9,17.9,10.0,No,0.023,Low,0
Solo Hustler,Stable Economy,33,1,Biotech,Seed,Hybrid,18,96,65.1,6.9,3.9,7.0,6.6,3.7,4.4,3.5,1.0,Low,0,32.9,6.2,5.0,25.4,9.4,No,0.53,Medium,0
Technical Builder,Bull Market,31,3,Biotech,Series B,Remote,167,101,41.9,7.7,5.9,3.9,6.3,2.1,1.0,1.0,1.0,Low,0,19.6,17.3,5.2,26.6,10.0,No,0.054,Low,0
Growth Obsessed Founder,Bull Market,40,2,E-commerce,Seed,Hybrid,10,41,69.3,4.8,2.2,8.1,7.7,4.4,7.9,7.0,6.1,Moderate,0,27.2,6.8,4.3,25.7,3.1,No,0.885,High,1
Chaotic Innovator,Funding Winter,38,1,AI,Series A,Hybrid,65,129,47.6,6.5,3.9,26.8,8.4,4.7,4.6,3.1,2.8,Low,0,38.8,10.6,4.7,35.8,7.5,No,0.76,High,1
Serial Entrepreneur,Stable Economy,37,5,AI,Seed,Hybrid,25,6,53.6,5.6,1.7,6.7,2.5,4.0,3.4,1.0,1.0,Low,0,7.4,21.5,4.7,15.0,10.0,No,0.201,Low,0
Visionary CEO,Funding Winter,32,0,SaaS,Series A,Remote,64,18,56.6,6.6,4.7,8.8,5.2,0.0,1.2,3.4,1.0,Low,0,4.3,1.0,9.6,23.1,9.8,Yes,0.264,Low,0
Chaotic Innovator,Stable Economy,23,0,HealthTech,Seed,Remote,23,60,51.5,4.9,6.2,17.1,3.8,3.8,3.6,1.0,1.0,Low,0,-4.3,16.6,8.9,32.8,9.3,No,0.047,Low,0
Technical Builder,Funding Winter,36,3,SaaS,Seed,Office,8,73,61.9,6.1,4.2,16.5,6.7,5.1,7.2,5.8,3.7,Moderate,0,16.7,10.3,6.1,28.9,8.0,No,0.34,Low,0
Technical Builder,Funding Winter,29,1,Cybersecurity,Series A,Remote,63,131,48.8,6.3,4.4,10.8,9.1,1.7,1.9,1.0,1.0,Low,0,-16.7,10.4,7.3,15.4,10.0,No,0.159,Low,0
Technical Builder,Stable Economy,33,2,FinTech,Bootstrapped,Office,4,63,59.5,4.8,1.9,17.4,4.9,5.5,4.5,1.0,2.5,Low,0,2.4,16.7,5.1,25.7,7.4,No,0.409,Medium,0
Solo Hustler,Stable Economy,55,5,EdTech,Seed,Remote,25,123,75.3,4.0,3.0,0.1,5.4,3.0,4.9,4.5,5.4,Moderate,0,48.7,19.7,8.4,35.9,5.4,No,0.191,Low,0
Growth Obsessed Founder,Stable Economy,45,4,E-commerce,Pre-Seed,Hybrid,12,24,58.3,5.7,4.7,19.8,4.4,3.9,3.9,2.9,1.0,Low,0,17.1,5.5,5.0,24.9,9.6,No,0.403,Medium,0
Visionary CEO,Stable Economy,47,3,SaaS,Series B,Hybrid,211,86,70.0,4.9,3.7,9.9,10.0,6.3,8.4,10.0,6.9,Severe,1,1.3,14.9,4.1,66.1,2.2,No,0.534,Medium,0
Visionary CEO,Bull Market,29,1,SaaS,Series A,Remote,78,131,54.8,5.4,5.7,8.3,8.4,1.6,4.1,4.1,7.1,Severe,1,7.2,1.0,10.0,33.3,2.2,No,0.161,Low,0
Serial Entrepreneur,Stable Economy,36,4,Biotech,Seed,Remote,25,42,67.6,7.0,5.2,7.5,8.2,1.2,4.0,4.8,1.0,Low,0,-3.4,12.2,3.8,18.0,10.0,No,0.062,Low,0
Serial Entrepreneur,Stable Economy,41,7,Gaming,Series A,Remote,83,8,64.8,5.4,5.0,14.1,6.9,1.6,7.5,5.5,1.6,Low,0,0.7,11.7,7.5,13.9,9.1,No,0.076,Low,0
Growth Obsessed Founder,Stable Economy,32,1,SaaS,Series B,Office,161,101,69.2,3.5,2.7,6.0,10.0,5.4,10.0,6.8,6.0,Moderate,0,26.4,14.8,6.3,40.8,3.7,Yes,0.39,Medium,0
Serial Entrepreneur,Funding Winter,34,4,Gaming,Seed,Remote,25,92,65.3,5.9,3.9,23.0,6.2,2.6,3.9,1.2,1.0,Low,0,6.0,4.6,6.8,28.9,8.6,No,0.57,Medium,0
Chaotic Innovator,Stable Economy,45,2,SaaS,Series A,Remote,32,98,67.7,4.5,3.7,15.1,4.3,5.7,5.3,5.4,3.2,Low,0,5.2,17.6,4.9,37.1,6.9,Yes,0.138,Low,0
Technical Builder,Recession,33,6,AI,Bootstrapped,Hybrid,1,90,80.1,6.4,4.2,0.0,7.9,4.2,5.1,4.7,3.7,Moderate,0,28.7,13.4,8.9,41.7,6.6,Yes,0.21,Low,0
Serial Entrepreneur,Stable Economy,42,8,FinTech,Seed,Hybrid,9,37,36.9,7.6,4.9,5.2,4.6,0.6,1.0,2.1,1.0,Low,0,-0.8,11.3,8.9,3.4,10.0,No,0.09,Low,0
Growth Obsessed Founder,Funding Winter,45,6,AI,Seed,Remote,6,93,72.5,4.8,3.4,5.3,9.0,6.4,7.7,7.9,6.4,Moderate,0,18.4,15.7,8.4,43.9,3.7,No,0.681,High,1
Solo Hustler,Bull Market,31,2,SaaS,Pre-Seed,Remote,12,48,83.5,4.6,2.8,0.0,7.4,4.7,9.2,9.6,5.9,Moderate,0,11.9,8.4,3.6,45.4,2.4,Yes,0.579,Medium,0
Visionary CEO,Bull Market,21,2,AI,Bootstrapped,Remote,5,134,81.4,5.5,2.1,6.0,3.0,4.2,5.5,2.7,1.2,Low,0,16.6,33.6,5.9,23.6,9.2,No,0.007,Low,0
Calm Operator,Recession,35,3,ClimateTech,Series A,Remote,75,48,44.4,7.3,7.0,29.9,5.3,1.6,1.5,2.5,1.0,Low,0,-29.9,15.6,4.1,13.6,9.6,No,0.184,Low,0
Solo Hustler,Stable Economy,39,3,AI,Bootstrapped,Remote,5,138,60.5,7.0,4.3,5.6,9.0,4.2,6.0,5.6,4.8,Moderate,0,28.8,18.3,4.8,37.4,6.9,No,0.219,Low,0
Visionary CEO,Stable Economy,49,4,AI,Seed,Office,19,87,53.6,5.2,2.7,9.1,5.4,3.0,3.0,2.3,1.0,Low,0,-6.4,9.7,6.5,14.8,10.0,Yes,0.09,Low,0
Serial Entrepreneur,Stable Economy,30,7,FinTech,Series A,Remote,56,36,40.8,6.5,4.8,19.9,10.0,3.3,1.0,1.2,1.8,Low,0,-19.4,8.3,4.9,23.8,10.0,No,0.148,Low,0
Solo Hustler,Stable Economy,38,2,AI,Seed,Hybrid,19,58,91.0,4.2,2.1,15.0,7.3,6.0,10.0,6.4,4.2,Moderate,0,4.5,1.0,4.5,62.2,6.6,No,0.706,High,1
Technical Builder,Funding Winter,35,1,E-commerce,Pre-Seed,Remote,2,27,76.9,4.3,2.6,0.0,5.1,5.5,6.4,6.9,3.7,Moderate,0,9.8,5.1,4.2,40.7,4.8,Yes,0.94,High,1
Growth Obsessed Founder,Stable Economy,31,1,FinTech,Seed,Hybrid,6,142,84.7,5.5,3.0,14.3,6.6,3.9,8.8,2.8,2.3,Low,0,6.8,6.7,2.7,31.3,7.1,No,0.369,Medium,0
Burned-Out Operator,Bull Market,44,2,AI,Seed,Remote,16,93,57.7,6.3,3.6,9.5,5.7,3.7,4.3,2.6,3.8,Moderate,0,26.8,20.4,6.8,36.3,7.4,No,0.059,Low,0
Chaotic Innovator,Bull Market,33,2,AI,Pre-Seed,Remote,9,14,60.5,5.5,3.4,0.0,4.9,10.0,7.4,8.9,7.7,Severe,1,-4.2,16.1,3.2,58.8,4.6,No,0.703,High,1
Solo Hustler,Recession,37,4,SaaS,Seed,Hybrid,26,35,72.3,5.2,5.1,0.2,7.8,4.7,6.4,6.6,4.8,Moderate,0,15.0,17.6,8.7,50.3,4.6,No,0.181,Low,0
Growth Obsessed Founder,Stable Economy,40,2,HealthTech,Bootstrapped,Hybrid,2,61,57.4,6.5,4.8,15.3,4.4,7.2,4.3,5.3,3.3,Low,0,-3.1,14.8,4.1,38.7,4.9,No,0.248,Low,0
Calm Operator,Recession,41,4,SaaS,Series B,Remote,125,87,52.8,6.1,4.6,11.4,6.7,1.2,1.9,2.9,1.0,Low,0,-17.3,4.8,3.7,9.1,9.6,No,0.222,Low,0
Solo Hustler,Bull Market,41,2,EdTech,Series A,Hybrid,23,43,74.1,5.5,2.3,1.6,3.7,1.7,4.0,4.5,5.7,Moderate,0,17.6,15.9,6.1,39.7,2.1,No,0.351,Medium,0
Growth Obsessed Founder,Stable Economy,32,1,E-commerce,Seed,Hybrid,16,112,77.7,4.4,2.8,9.5,5.6,8.1,8.4,1.5,3.5,Low,0,21.5,11.0,5.3,58.7,5.0,No,0.51,Medium,0
Technical Builder,Recession,23,4,EdTech,Seed,Remote,24,123,48.3,6.3,3.2,7.6,6.3,3.2,1.0,1.0,1.0,Low,0,-2.5,2.2,5.1,19.7,10.0,No,0.388,Medium,0
Technical Builder,Recession,35,2,SaaS,Pre-Seed,Office,14,142,42.8,6.9,7.0,11.5,6.0,0.0,1.3,2.7,1.0,Low,0,-8.8,13.5,6.3,22.4,10.0,No,0.077,Low,0
Solo Hustler,Stable Economy,34,3,Cybersecurity,Seed,Office,29,82,65.5,5.3,2.6,12.3,3.7,5.0,7.0,4.9,4.2,Moderate,0,0.5,1.7,3.2,44.0,4.6,No,0.757,High,1
Visionary CEO,Bull Market,32,0,E-commerce,Bootstrapped,Hybrid,3,108,68.2,5.6,3.9,2.0,3.1,4.3,4.3,3.1,2.3,Low,0,10.4,21.9,4.8,19.5,10.0,No,0.025,Low,0
Solo Hustler,Recession,27,2,E-commerce,Series B,Remote,184,54,67.9,6.2,2.2,14.0,7.7,5.9,6.3,4.8,4.5,Moderate,0,-18.1,22.1,6.6,47.9,6.8,No,0.753,High,1
Burned-Out Operator,Recession,38,1,E-commerce,Seed,Office,13,71,68.0,3.8,3.4,6.2,7.0,2.6,6.5,6.1,6.2,Moderate,0,-8.2,20.2,3.7,42.9,4.0,No,0.874,High,1
Serial Entrepreneur,Stable Economy,39,4,ClimateTech,Series B,Office,106,133,42.8,6.3,4.9,13.2,6.4,2.0,1.7,1.9,1.0,Low,0,23.8,11.4,9.1,11.2,9.8,No,0.018,Low,0
Chaotic Innovator,Funding Winter,36,2,FinTech,Bootstrapped,Hybrid,5,38,63.3,6.7,2.2,16.8,5.0,6.8,3.9,2.2,1.7,Low,0,-17.3,13.9,2.6,35.2,10.0,No,0.512,Medium,0
Calm Operator,Stable Economy,29,1,AI,Seed,Hybrid,15,24,61.3,6.3,6.5,21.3,5.8,0.6,1.6,1.0,1.0,Low,0,19.9,21.2,2.8,7.5,10.0,No,0.038,Low,0
